idCliente|nombre|apellido1|apellido2|direccion|telefono
75|Theodore|Mckinney|Cotton|Apdo.:648-8628 Mauris. Calle|(754) 807-9537
76|Bradley|Yates|Drake|Apartado núm.: 178, 7772 Consequat Avenida|(741) 512-3946
77|Calista|Riddle|Dickerson|207-5503 Consectetuer, Calle|(401) 328-4342
78|Ima|Shannon|Flynn|6683 At Calle|(963) 138-8291
79|Glenna|Hurst|Mcknight|376-5557 Risus Av.|(343) 877-9368
80|Ferris|Shaw|Macias|113-5949 Donec Avda.|(296) 268-8125
81|Zahir|Rosa|Poole|Apartado núm.: 509, 6082 Sollicitudin C.|(647) 716-6844
82|Dustin|Gonzalez|Booker|Apdo.:818-6294 Bibendum Avda.|(863) 376-6290
83|Alexis|Sykes|Bowen|5196 Ligula. Avda.|(701) 849-6524
84|Adena|Dotson|Thornton|359-5912 Fringilla. C.|(251) 759-8680
85|Maggie|Miller|Patel|Apdo.:251-3816 Tempor Ctra.|(136) 196-8515
86|Rowan|Cote|Alvarez|8992 Est, Av.|(225) 441-3220
87|Brenden|Bridges|Valdez|477-8114 Et, Ctra.|(115) 320-9576
88|Allen|Avery|Deleon|8204 Dui. |(538) 155-1093
89|Hermione|Austin|Roach|3845 Pellentesque Av.|(125) 180-1285
90|Alma|Silva|Frost|974-4978 Lorem, Avenida|(146) 984-1053
91|Florence|Padilla|Marsh|801-1289 Blandit C.|(450) 605-8938
92|Miriam|Stephens|Byrd|8355 Sapien. C.|(654) 609-8989
93|Wyoming|Hernandez|Robinson|9145 Ultricies C/|(762) 506-0931
94|Xena|Barrera|Hampton|9354 Ut Ctra.|(797) 818-3691
95|Odysseus|Holloway|Oliver|Apartado núm.: 422, 1395 Auctor Av.|(578) 843-7968
96|Kessie|Gibbs|Cannon|2968 Rutrum, Ctra.|(232) 963-1748
97|Tatiana|Montoya|Doyle|Apartado núm.: 404, 7659 Adipiscing Ctra.|(950) 242-4726
98|Harrison|Rutledge|Baird|Apartado núm.: 410, 1531 Orci Ctra.|(200) 454-3219
99|Cassidy|Decker|Henson|Apartado núm.: 241, 1715 Sed Ctra.|(452) 694-3675
100|Clinton|Sykes|Kelley|Apartado núm.: 441, 289 Orci |(256) 984-9299
